bygningens byggeår	bruksareal	statistikkvariabel	år	region	06517: Boliger,
1971-1980	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	320
1971-1980	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	95
1971-1980	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	35
1981-1990	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	11
1981-1990	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	27
1981-1990	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	31
1981-1990	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	80
1981-1990	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	152
1981-1990	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	124
1981-1990	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	96
1981-1990	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	120
1981-1990	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	138
1981-1990	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	615
1981-1990	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	655
1981-1990	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	432
1981-1990	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	199
1981-1990	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	69
1991-2000	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1991-2000	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1991-2000	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1991-2000	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	57
1991-2000	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	224
1991-2000	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	180
1991-2000	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	145
1991-2000	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	213
1991-2000	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	199
1991-2000	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	263
1991-2000	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	232
1991-2000	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	138
1991-2000	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	61
1991-2000	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	29
2001-2010	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	12
2001-2010	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	32
2001-2010	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	45
2001-2010	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	67
2001-2010	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	463
2001-2010	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	742
2001-2010	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	254
2001-2010	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	219
2001-2010	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	190
2001-2010	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	230
2001-2010	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	229
2001-2010	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	130
2001-2010	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	78
2001-2010	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	36
2011-2020	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
2011-2020	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	8
2011-2020	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	18
2011-2020	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	20
2011-2020	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	321
2011-2020	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	483
2011-2020	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	259
2011-2020	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	195
2011-2020	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	231
2011-2020	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	267
2011-2020	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	193
2011-2020	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	130
2011-2020	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	67
2011-2020	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	43
2021 og etter	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
2021 og etter	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	0
2021 og etter	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	10
