statistikkvariabel	region	bygningstype	ar	Boligbygg,
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2019	12
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2020	20
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2021	10
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2022	28
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2013	14
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2017	6
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2018	44
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2021	26
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2022	12
Igangsettingstillatelser boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2023	8
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2013	86
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2014	9
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2015	6
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2017	5
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2019	36
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2020	24
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2021	23
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2022	26
Igangsettingstillatelser boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2022	14
Igangsettingstillatelser boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2023	9
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2013	0
