region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490302 Tjøsvoll Øst	16-19 år	Personer	2024	Menn	28
11490302 Tjøsvoll Øst	16-19 år	Personer	2024	Kvinner	18
11490302 Tjøsvoll Øst	20-24 år	Personer	2024	Menn	39
11490302 Tjøsvoll Øst	20-24 år	Personer	2024	Kvinner	39
11490302 Tjøsvoll Øst	25-29 år	Personer	2024	Menn	34
11490302 Tjøsvoll Øst	25-29 år	Personer	2024	Kvinner	43
11490302 Tjøsvoll Øst	30-49 år	Personer	2024	Menn	167
11490302 Tjøsvoll Øst	30-49 år	Personer	2024	Kvinner	151
11490302 Tjøsvoll Øst	50-59 år	Personer	2024	Menn	61
11490302 Tjøsvoll Øst	50-59 år	Personer	2024	Kvinner	57
11490302 Tjøsvoll Øst	60-66 år	Personer	2024	Menn	26
11490302 Tjøsvoll Øst	60-66 år	Personer	2024	Kvinner	38
11490302 Tjøsvoll Øst	67-69 år	Personer	2024	Menn	16
11490302 Tjøsvoll Øst	67-69 år	Personer	2024	Kvinner	15
11490302 Tjøsvoll Øst	70-79 år	Personer	2024	Menn	28
11490302 Tjøsvoll Øst	70-79 år	Personer	2024	Kvinner	22
11490302 Tjøsvoll Øst	80 år eller eldre	Personer	2024	Menn	6
11490302 Tjøsvoll Øst	80 år eller eldre	Personer	2024	Kvinner	7
11490303 Åkrehamn	0-5 år	Personer	2024	Menn	31
11490303 Åkrehamn	0-5 år	Personer	2024	Kvinner	27
11490303 Åkrehamn	6-15 år	Personer	2024	Menn	72
11490303 Åkrehamn	6-15 år	Personer	2024	Kvinner	68
11490303 Åkrehamn	16-19 år	Personer	2024	Menn	35
11490303 Åkrehamn	16-19 år	Personer	2024	Kvinner	26
11490303 Åkrehamn	20-24 år	Personer	2024	Menn	34
11490303 Åkrehamn	20-24 år	Personer	2024	Kvinner	28
11490303 Åkrehamn	25-29 år	Personer	2024	Menn	31
11490303 Åkrehamn	25-29 år	Personer	2024	Kvinner	32
11490303 Åkrehamn	30-49 år	Personer	2024	Menn	143
11490303 Åkrehamn	30-49 år	Personer	2024	Kvinner	145
11490303 Åkrehamn	50-59 år	Personer	2024	Menn	99
11490303 Åkrehamn	50-59 år	Personer	2024	Kvinner	101
11490303 Åkrehamn	60-66 år	Personer	2024	Menn	53
11490303 Åkrehamn	60-66 år	Personer	2024	Kvinner	49
11490303 Åkrehamn	67-69 år	Personer	2024	Menn	20
11490303 Åkrehamn	67-69 år	Personer	2024	Kvinner	28
11490303 Åkrehamn	70-79 år	Personer	2024	Menn	55
11490303 Åkrehamn	70-79 år	Personer	2024	Kvinner	68
11490303 Åkrehamn	80 år eller eldre	Personer	2024	Menn	41
11490303 Åkrehamn	80 år eller eldre	Personer	2024	Kvinner	54
11490304 Årvold	0-5 år	Personer	2024	Menn	17
11490304 Årvold	0-5 år	Personer	2024	Kvinner	26
11490304 Årvold	6-15 år	Personer	2024	Menn	61
11490304 Årvold	6-15 år	Personer	2024	Kvinner	48
11490304 Årvold	16-19 år	Personer	2024	Menn	26
11490304 Årvold	16-19 år	Personer	2024	Kvinner	27
11490304 Årvold	20-24 år	Personer	2024	Menn	32
11490304 Årvold	20-24 år	Personer	2024	Kvinner	25
11490304 Årvold	25-29 år	Personer	2024	Menn	27
11490304 Årvold	25-29 år	Personer	2024	Kvinner	20
11490304 Årvold	30-49 år	Personer	2024	Menn	102
11490304 Årvold	30-49 år	Personer	2024	Kvinner	103
11490304 Årvold	50-59 år	Personer	2024	Menn	67
11490304 Årvold	50-59 år	Personer	2024	Kvinner	60
11490304 Årvold	60-66 år	Personer	2024	Menn	39
11490304 Årvold	60-66 år	Personer	2024	Kvinner	25
11490304 Årvold	67-69 år	Personer	2024	Menn	8
11490304 Årvold	67-69 år	Personer	2024	Kvinner	11
11490304 Årvold	70-79 år	Personer	2024	Menn	15
11490304 Årvold	70-79 år	Personer	2024	Kvinner	27
11490304 Årvold	80 år eller eldre	Personer	2024	Menn	12
11490304 Årvold	80 år eller eldre	Personer	2024	Kvinner	17
11490305 Grindhaug	0-5 år	Personer	2024	Menn	16
11490305 Grindhaug	0-5 år	Personer	2024	Kvinner	14
11490305 Grindhaug	6-15 år	Personer	2024	Menn	41
11490305 Grindhaug	6-15 år	Personer	2024	Kvinner	35
11490305 Grindhaug	16-19 år	Personer	2024	Menn	11
11490305 Grindhaug	16-19 år	Personer	2024	Kvinner	10
11490305 Grindhaug	20-24 år	Personer	2024	Menn	24
11490305 Grindhaug	20-24 år	Personer	2024	Kvinner	14
11490305 Grindhaug	25-29 år	Personer	2024	Menn	14
11490305 Grindhaug	25-29 år	Personer	2024	Kvinner	17
11490305 Grindhaug	30-49 år	Personer	2024	Menn	63
11490305 Grindhaug	30-49 år	Personer	2024	Kvinner	79
11490305 Grindhaug	50-59 år	Personer	2024	Menn	44
11490305 Grindhaug	50-59 år	Personer	2024	Kvinner	39
11490305 Grindhaug	60-66 år	Personer	2024	Menn	19
11490305 Grindhaug	60-66 år	Personer	2024	Kvinner	19
11490305 Grindhaug	67-69 år	Personer	2024	Menn	9
11490305 Grindhaug	67-69 år	Personer	2024	Kvinner	5
11490305 Grindhaug	70-79 år	Personer	2024	Menn	17
11490305 Grindhaug	70-79 år	Personer	2024	Kvinner	22
11490305 Grindhaug	80 år eller eldre	Personer	2024	Menn	6
11490305 Grindhaug	80 år eller eldre	Personer	2024	Kvinner	16
11490306 Mosbron	0-5 år	Personer	2024	Menn	30
11490306 Mosbron	0-5 år	Personer	2024	Kvinner	21
11490306 Mosbron	6-15 år	Personer	2024	Menn	59
11490306 Mosbron	6-15 år	Personer	2024	Kvinner	63
11490306 Mosbron	16-19 år	Personer	2024	Menn	18
11490306 Mosbron	16-19 år	Personer	2024	Kvinner	18
11490306 Mosbron	20-24 år	Personer	2024	Menn	25
11490306 Mosbron	20-24 år	Personer	2024	Kvinner	22
11490306 Mosbron	25-29 år	Personer	2024	Menn	33
11490306 Mosbron	25-29 år	Personer	2024	Kvinner	24
11490306 Mosbron	30-49 år	Personer	2024	Menn	103
11490306 Mosbron	30-49 år	Personer	2024	Kvinner	99
11490306 Mosbron	50-59 år	Personer	2024	Menn	67
11490306 Mosbron	50-59 år	Personer	2024	Kvinner	66
11490306 Mosbron	60-66 år	Personer	2024	Menn	27
11490306 Mosbron	60-66 år	Personer	2024	Kvinner	28
11490306 Mosbron	67-69 år	Personer	2024	Menn	10
11490306 Mosbron	67-69 år	Personer	2024	Kvinner	11
11490306 Mosbron	70-79 år	Personer	2024	Menn	35
11490306 Mosbron	70-79 år	Personer	2024	Kvinner	33
11490306 Mosbron	80 år eller eldre	Personer	2024	Menn	11
11490306 Mosbron	80 år eller eldre	Personer	2024	Kvinner	22
11490307 Stong	0-5 år	Personer	2024	Menn	17
11490307 Stong	0-5 år	Personer	2024	Kvinner	18
11490307 Stong	6-15 år	Personer	2024	Menn	39
11490307 Stong	6-15 år	Personer	2024	Kvinner	37
11490307 Stong	16-19 år	Personer	2024	Menn	16
11490307 Stong	16-19 år	Personer	2024	Kvinner	17
11490307 Stong	20-24 år	Personer	2024	Menn	39
11490307 Stong	20-24 år	Personer	2024	Kvinner	28
11490307 Stong	25-29 år	Personer	2024	Menn	40
11490307 Stong	25-29 år	Personer	2024	Kvinner	24
11490307 Stong	30-49 år	Personer	2024	Menn	78
11490307 Stong	30-49 år	Personer	2024	Kvinner	86
11490307 Stong	50-59 år	Personer	2024	Menn	55
11490307 Stong	50-59 år	Personer	2024	Kvinner	59
11490307 Stong	60-66 år	Personer	2024	Menn	41
11490307 Stong	60-66 år	Personer	2024	Kvinner	38
11490307 Stong	67-69 år	Personer	2024	Menn	11
11490307 Stong	67-69 år	Personer	2024	Kvinner	13
11490307 Stong	70-79 år	Personer	2024	Menn	35
11490307 Stong	70-79 år	Personer	2024	Kvinner	46
11490307 Stong	80 år eller eldre	Personer	2024	Menn	17
11490307 Stong	80 år eller eldre	Personer	2024	Kvinner	26
11490308 Ådland	0-5 år	Personer	2024	Menn	31
11490308 Ådland	0-5 år	Personer	2024	Kvinner	17
11490308 Ådland	6-15 år	Personer	2024	Menn	68
11490308 Ådland	6-15 år	Personer	2024	Kvinner	65
