region	boligtype	kvartal	statistikkvariabel	05963: Selveierboliger,
1102 Sandnes (-2019)	Småhus	2019K4	Gjennomsnittlig kvadratmeterpris (kr)	28920
1102 Sandnes (-2019)	Småhus	2020K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2020K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2020K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2020K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2021K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2021K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2021K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2021K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2022K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2022K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2022K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2022K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2023K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2023K2	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2023K3	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2023K4	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Småhus	2024K1	Gjennomsnittlig kvadratmeterpris (kr)	.
1102 Sandnes (-2019)	Blokkleiligheter	2013K1	Gjennomsnittlig kvadratmeterpris (kr)	44605
1102 Sandnes (-2019)	Blokkleiligheter	2013K2	Gjennomsnittlig kvadratmeterpris (kr)	44486
1102 Sandnes (-2019)	Blokkleiligheter	2013K3	Gjennomsnittlig kvadratmeterpris (kr)	43684
1102 Sandnes (-2019)	Blokkleiligheter	2013K4	Gjennomsnittlig kvadratmeterpris (kr)	41963
1102 Sandnes (-2019)	Blokkleiligheter	2014K1	Gjennomsnittlig kvadratmeterpris (kr)	42003
1102 Sandnes (-2019)	Blokkleiligheter	2014K2	Gjennomsnittlig kvadratmeterpris (kr)	43110
1102 Sandnes (-2019)	Blokkleiligheter	2014K3	Gjennomsnittlig kvadratmeterpris (kr)	42177
1102 Sandnes (-2019)	Blokkleiligheter	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	41608
1102 Sandnes (-2019)	Blokkleiligheter	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	42219
1102 Sandnes (-2019)	Blokkleiligheter	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	41766
1102 Sandnes (-2019)	Blokkleiligheter	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	40985
1102 Sandnes (-2019)	Blokkleiligheter	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	41699
1102 Sandnes (-2019)	Blokkleiligheter	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	37891
1102 Sandnes (-2019)	Blokkleiligheter	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	39516
1102 Sandnes (-2019)	Blokkleiligheter	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	41375
1102 Sandnes (-2019)	Blokkleiligheter	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	38989
1102 Sandnes (-2019)	Blokkleiligheter	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	39983
1102 Sandnes (-2019)	Blokkleiligheter	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	41402
