region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490308 adland	50-59 ar	Personer	2024	Menn	43
11490308 adland	50-59 ar	Personer	2024	Kvinner	48
11490308 adland	60-66 ar	Personer	2024	Menn	22
11490308 adland	60-66 ar	Personer	2024	Kvinner	30
11490308 adland	67-69 ar	Personer	2024	Menn	8
11490308 adland	67-69 ar	Personer	2024	Kvinner	3
11490308 adland	70-79 ar	Personer	2024	Menn	22
11490308 adland	70-79 ar	Personer	2024	Kvinner	22
11490308 adland	80 ar eller eldre	Personer	2024	Menn	9
11490308 adland	80 ar eller eldre	Personer	2024	Kvinner	21
11490309 Liknes	20-24 ar	Personer	2024	Menn	7
11490309 Liknes	20-24 ar	Personer	2024	Kvinner	6
11490309 Liknes	25-29 ar	Personer	2024	Menn	8
11490309 Liknes	25-29 ar	Personer	2024	Kvinner	9
11490309 Liknes	30-49 ar	Personer	2024	Menn	37
11490309 Liknes	30-49 ar	Personer	2024	Kvinner	41
11490309 Liknes	50-59 ar	Personer	2024	Menn	27
11490309 Liknes	50-59 ar	Personer	2024	Kvinner	21
11490309 Liknes	60-66 ar	Personer	2024	Menn	14
11490309 Liknes	60-66 ar	Personer	2024	Kvinner	11
11490309 Liknes	67-69 ar	Personer	2024	Menn	4
11490309 Liknes	67-69 ar	Personer	2024	Kvinner	6
11490309 Liknes	70-79 ar	Personer	2024	Menn	22
11490309 Liknes	70-79 ar	Personer	2024	Kvinner	17
11490309 Liknes	80 ar eller eldre	Personer	2024	Menn	8
11490309 Liknes	80 ar eller eldre	Personer	2024	Kvinner	9
11490401 Stava	20-24 ar	Personer	2024	Menn	4
11490401 Stava	20-24 ar	Personer	2024	Kvinner	0
11490401 Stava	25-29 ar	Personer	2024	Menn	3
11490401 Stava	25-29 ar	Personer	2024	Kvinner	5
11490401 Stava	30-49 ar	Personer	2024	Menn	25
11490401 Stava	30-49 ar	Personer	2024	Kvinner	21
11490401 Stava	50-59 ar	Personer	2024	Menn	12
11490401 Stava	50-59 ar	Personer	2024	Kvinner	10
11490401 Stava	60-66 ar	Personer	2024	Menn	5
11490401 Stava	60-66 ar	Personer	2024	Kvinner	3
11490401 Stava	67-69 ar	Personer	2024	Menn	3
11490401 Stava	67-69 ar	Personer	2024	Kvinner	0
11490401 Stava	70-79 ar	Personer	2024	Menn	7
11490401 Stava	70-79 ar	Personer	2024	Kvinner	7
11490401 Stava	80 ar eller eldre	Personer	2024	Menn	5
11490401 Stava	80 ar eller eldre	Personer	2024	Kvinner	7
11490402 Stol - Ferkingstad	20-24 ar	Personer	2024	Menn	11
11490402 Stol - Ferkingstad	20-24 ar	Personer	2024	Kvinner	13
11490402 Stol - Ferkingstad	25-29 ar	Personer	2024	Menn	16
11490402 Stol - Ferkingstad	25-29 ar	Personer	2024	Kvinner	15
11490402 Stol - Ferkingstad	30-49 ar	Personer	2024	Menn	76
11490402 Stol - Ferkingstad	30-49 ar	Personer	2024	Kvinner	58
11490402 Stol - Ferkingstad	50-59 ar	Personer	2024	Menn	37
11490402 Stol - Ferkingstad	50-59 ar	Personer	2024	Kvinner	38
11490402 Stol - Ferkingstad	60-66 ar	Personer	2024	Menn	23
11490402 Stol - Ferkingstad	60-66 ar	Personer	2024	Kvinner	22
11490402 Stol - Ferkingstad	67-69 ar	Personer	2024	Menn	6
11490402 Stol - Ferkingstad	67-69 ar	Personer	2024	Kvinner	6
11490402 Stol - Ferkingstad	70-79 ar	Personer	2024	Menn	24
11490402 Stol - Ferkingstad	70-79 ar	Personer	2024	Kvinner	28
11490402 Stol - Ferkingstad	80 ar eller eldre	Personer	2024	Menn	7
11490402 Stol - Ferkingstad	80 ar eller eldre	Personer	2024	Kvinner	6
11490403 Langaker - Kvilhaug	20-24 ar	Personer	2024	Menn	11
11490403 Langaker - Kvilhaug	20-24 ar	Personer	2024	Kvinner	18
11490403 Langaker - Kvilhaug	25-29 ar	Personer	2024	Menn	5
11490403 Langaker - Kvilhaug	25-29 ar	Personer	2024	Kvinner	8
11490403 Langaker - Kvilhaug	30-49 ar	Personer	2024	Menn	48
11490403 Langaker - Kvilhaug	30-49 ar	Personer	2024	Kvinner	36
11490403 Langaker - Kvilhaug	50-59 ar	Personer	2024	Menn	40
11490403 Langaker - Kvilhaug	50-59 ar	Personer	2024	Kvinner	31
11490403 Langaker - Kvilhaug	60-66 ar	Personer	2024	Menn	12
11490403 Langaker - Kvilhaug	60-66 ar	Personer	2024	Kvinner	7
11490403 Langaker - Kvilhaug	67-69 ar	Personer	2024	Menn	8
11490403 Langaker - Kvilhaug	67-69 ar	Personer	2024	Kvinner	5
11490403 Langaker - Kvilhaug	70-79 ar	Personer	2024	Menn	19
11490403 Langaker - Kvilhaug	70-79 ar	Personer	2024	Kvinner	25
11490403 Langaker - Kvilhaug	80 ar eller eldre	Personer	2024	Menn	12
11490403 Langaker - Kvilhaug	80 ar eller eldre	Personer	2024	Kvinner	16
11490404 Hemnes - Sandhaland	20-24 ar	Personer	2024	Menn	9
11490404 Hemnes - Sandhaland	20-24 ar	Personer	2024	Kvinner	4
11490404 Hemnes - Sandhaland	25-29 ar	Personer	2024	Menn	5
11490404 Hemnes - Sandhaland	25-29 ar	Personer	2024	Kvinner	7
11490404 Hemnes - Sandhaland	30-49 ar	Personer	2024	Menn	35
11490404 Hemnes - Sandhaland	30-49 ar	Personer	2024	Kvinner	21
11490404 Hemnes - Sandhaland	50-59 ar	Personer	2024	Menn	26
