Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.55744743,0.5782882,0.53343976,0.5328194,0.51457685,0.5320884,0.51753825,0.5422995,0.6121983
0.5609493,0.58443636,0.53822255,0.53351045,0.51355076,0.53768647,0.51721,0.5510829,0.6220802
0.5585748,0.5802691,0.5349794,0.5330418,0.51424676,0.5338905,0.5174327,0.5451287,0.6153883
0.56209457,0.58651936,0.5400207,0.53387225,0.5132303,0.5396206,0.5170158,0.5541062,0.6255906
0.55580825,0.5754054,0.5312016,0.5324963,0.5150565,0.52946836,0.5176917,0.53818375,0.60754585
0.56886375,0.59895974,0.5511726,0.5363193,0.5113672,0.5512815,0.51566947,0.57226735,0.64675397
0.5847551,0.62783283,0.57730484,0.5420953,0.5069631,0.5785947,0.512487,0.61434096,0.69443494
0.57547575,0.6110346,0.562057,0.53871685,0.5095403,0.56266034,0.51434934,0.589887,0.6669603
0.5575425,0.5784553,0.53356963,0.5328381,0.514549,0.5322404,0.51752937,0.5425382,0.61246765
0.5720597,0.6048062,0.556435,0.53747725,0.5104851,0.5567834,0.51503205,0.58080095,0.65658176
0.5653325,0.5924793,0.54535574,0.53504187,0.51234007,0.5451994,0.51637244,0.5628062,0.63577
0.579264,0.6179144,0.5682865,0.5400941,0.50849015,0.5691712,0.51359046,0.5999133,0.67830753
0.57645977,0.6128244,0.5636756,0.53907436,0.50926775,0.5643522,0.5141524,0.5924965,0.6699245
0.557325,0.5780731,0.5332727,0.53279525,0.5146126,0.5318928,0.51754975,0.5419923,0.61185145
0.5531983,0.57080907,0.52763885,0.5319823,0.51581943,0.52529734,0.5179358,0.5316263,0.6001052
0.530879,0.52826256,0.49637422,0.52815646,0.51647127,0.4979881,0.51804525,0.4855538,0.5365836
0.5697325,0.6005508,0.55260336,0.5366339,0.51112765,0.55277747,0.5154964,0.5745901,0.6494365
0.5777726,0.6152094,0.56583464,0.53955156,0.50890386,0.5666088,0.51388943,0.59597266,0.6738612
0.57022125,0.6014454,0.5534082,0.536811,0.5109927,0.55361897,0.51539886,0.5758958,0.65094197
0.5557965,0.57538474,0.5311856,0.532494,0.5150599,0.52944964,0.5176928,0.5381543,0.6075125
0.5774336,0.61459374,0.56527716,0.53942823,0.50899786,0.56602603,0.5139574,0.5950755,0.67284644
0.5809259,0.62092304,0.5710174,0.5406991,0.50802857,0.5720251,0.5132569,0.60429364,0.68322945
0.5646974,0.5913115,0.5443093,0.5348123,0.5125148,0.5441053,0.51649874,0.56110144,0.6337812
0.55455863,0.5732057,0.5294958,0.53225017,0.5154219,0.5274713,0.51780856,0.53504485,0.60398847
0.5558486,0.57547647,0.53125685,0.53250426,0.5150446,0.5295329,0.5176879,0.5382852,0.6076607
0.55417395,0.5725283,0.52897066,0.5321744,0.5155343,0.52685654,0.5178446,0.5340783,0.60289156
0.5614897,0.58540434,0.5390241,0.5336539,0.51339644,0.53857845,0.5171358,0.55247885,0.6236785
0.5623969,0.58707654,0.5405189,0.5339814,0.51314723,0.5401416,0.51695573,0.55491936,0.62654525
0.5601284,0.5829964,0.5371012,0.5333483,0.51379144,0.53637403,0.517287,0.5490251,0.6197708
0.5672703,0.59603804,0.54854804,0.53574264,0.5118065,0.5485374,0.51598686,0.568002,0.6418133
0.55045074,0.565963,0.5238894,0.5314417,0.51662153,0.5209078,0.5181924,0.5247194,0.59223145
0.5787446,0.61697286,0.56743264,0.5399051,0.50863427,0.56827897,0.5136946,0.5985419,0.6767622
0.5483501,0.5622528,0.52102387,0.53102875,0.51723415,0.51755273,0.5183885,0.5194374,0.5861849
0.55162793,0.5680402,0.5254957,0.53167325,0.51627797,0.5227883,0.5180825,0.52767897,0.5956098
0.5446874,0.55577475,0.5160298,0.5303094,0.518301,0.5117058,0.5187298,0.5102281,0.5755929
0.5564533,0.5765402,0.5320824,0.53262347,0.5148678,0.5304994,0.51763135,0.53980374,0.60937864
0.5633045,0.5887484,0.5420144,0.53430915,0.5128978,0.54170537,0.5167755,0.55735964,0.629406
0.56199634,0.5863384,0.53985894,0.5338368,0.5132573,0.5394514,0.51703525,0.553842,0.62528044
0.5598685,0.58254045,0.53674626,0.53329706,0.5138676,0.53595865,0.5173114,0.5483736,0.6190389
0.5496179,0.56449246,0.52275324,0.5312779,0.5168645,0.51957744,0.51827013,0.5226253,0.5898368
0.5611076,0.5847139,0.5384387,0.5335417,0.5135044,0.5379394,0.5171951,0.5514794,0.62252486
0.56201655,0.5863756,0.53989214,0.5338441,0.5132518,0.53948617,0.51703125,0.55389625,0.62534416
0.5348158,0.5329399,0.49982682,0.5289697,0.5181354,0.4993834,0.5185152,0.48886806,0.54283255
0.5561939,0.57608396,0.53172827,0.5325723,0.51494366,0.5300848,0.5176557,0.5391523,0.60864204
0.5519298,0.5685727,0.52590764,0.5317326,0.5161899,0.5232706,0.51805437,0.528438,0.5964751
0.56256235,0.5873814,0.5407915,0.53404117,0.5131018,0.5404267,0.5169229,0.55536443,0.6270674
0.5699865,0.6010158,0.55302167,0.5367259,0.51105756,0.5532148,0.51544565,0.57526875,0.6502192
0.54909384,0.563567,0.5220384,0.5311749,0.51701736,0.51874053,0.518319,0.52130765,0.58832836
0.57489455,0.6099765,0.5611007,0.53850585,0.5097012,0.5616607,0.5144656,0.5883439,0.6652041
0.5552227,0.5743749,0.53040224,0.53238094,0.5152277,0.52853256,0.5177465,0.5367131,0.6058802
0.56237113,0.587029,0.5404764,0.5339721,0.5131544,0.54009706,0.51696086,0.5548499,0.6264638
0.5424738,0.5514764,0.5128162,0.5299175,0.51872855,0.50841767,0.5188551,0.5049088,0.5688845
0.5630115,0.588209,0.5415317,0.5342033,0.5129784,0.5412007,0.51683366,0.5565722,0.62848353
0.5552018,0.57433814,0.5303738,0.5323768,0.5152338,0.52849925,0.5177484,0.5366607,0.6058208
0.5576858,0.57870716,0.5337654,0.5328664,0.51450706,0.53246945,0.51751596,0.5428979,0.6128735
0.5671971,0.5959037,0.5484274,0.5357161,0.51182663,0.5484113,0.5160014,0.5678058,0.64158565
0.54528177,0.55682665,0.51684,0.530426,0.518128,0.5126543,0.51867443,0.5117223,0.5773156
0.573543,0.60751337,0.55887663,0.5380152,0.5100751,0.55933577,0.5147358,0.584751,0.6611047
0.5531477,0.57071996,0.5275698,0.5319723,0.51583415,0.5252165,0.51794046,0.53149915,0.5999606
